wavelength,illuminantC,xBar,yBar,zBar
703,75.136,0.009288422,0.003354219,0
704,74.748,0.008678854,0.003134093,0
705,74.36,0.008110916,0.002929,0
706,73.968,0.007582388,0.002738139,0
707,73.576,0.007088746,0.002559876,0
708,73.184,0.006627313,0.002393244,0
709,72.792,0.006195408,0.002237275,0
710,72.4,0.005790346,0.002091,0
711,72,0.005409826,0.001953587,0
712,71.6,0.005052583,0.00182458,0
713,71.2,0.004717512,0.00170358,0
714,70.8,0.004403507,0.001590187,0
715,70.4,0.004109457,0.001484,0
716,69.98,0.003833913,0.001384496,0
717,69.56,0.003575748,0.001291268,0
718,69.14,0.003334342,0.001204092,0
719,68.72,0.003109075,0.001122744,0
720,68.3,0.002899327,0.001047,0
721,67.9,0.002704348,0.0009765896,0
722,67.5,0.00252302,0.0009111088,0
723,67.1,0.002354168,0.0008501332,0
724,66.7,0.002196616,0.0007932384,0
725,66.3,0.00204919,0.00074,0
726,65.92,0.00191096,0.0006900827,0
727,65.54,0.001781438,0.00064331,0
728,65.16,0.00166011,0.000599496,0
729,64.78,0.001546459,0.0005584547,0
730,64.4,0.001439971,0.00052,0
731,64.08,0.001340042,0.0004839136,0
732,63.76,0.001246275,0.0004500528,0
733,63.44,0.001158471,0.0004183452,0
734,63.12,0.00107643,0.0003887184,0
735,62.8,0.0009999493,0.0003611,0
736,62.54,0.0009287358,0.0003353835,0
737,62.28,0.0008624332,0.0003114404,0
738,62.02,0.0008007503,0.0002891656,0
739,61.76,0.000743396,0.0002684539,0
740,61.5,0.0006900786,0.0002492,0
741,61.24,0.0006405156,0.0002313019,0
742,60.98,0.0005945021,0.0002146856,0
743,60.72,0.0005518646,0.0001992884,0
744,60.46,0.000512429,0.0001850475,0
745,60.2,0.0004760213,0.0001719,0
746,60,0.0004424536,0.0001597781,0
747,59.8,0.0004115117,0.0001486044,0
748,59.6,0.0003829814,0.0001383016,0
749,59.4,0.0003566491,0.0001287925,0
750,59.2,0.0003323011,0.00012,0
751,59.06,0.0003097586,0.0001118595,0
752,58.92,0.0002888871,0.0001043224,0
753,58.78,0.0002695394,9.73356e-05,0
754,58.64,0.0002515682,9.084587e-05,0
755,58.5,0.0002348261,8.48e-05,0
756,58.42,0.000219171,7.914667e-05,0
757,58.34,0.0002045258,7.3858e-05,0
758,58.26,0.0001908405,6.8916e-05,0
759,58.18,0.0001780654,6.430267e-05,0
760,58.1,0.0001661505,6e-05,0
761,58.08,0.0001550236,5.598187e-05,0
762,58.06,0.0001446219,5.22256e-05,0
763,58.04,0.0001349098,4.87184e-05,0
764,58.02,0.000125852,4.544747e-05,0
765,58,0.000117413,4.24e-05,0
766,58.04,0.0001095515,3.956104e-05,0
767,58.08,0.0001022245,3.691512e-05,0
768,58.12,9.539445e-05,3.444868e-05,0
769,58.16,8.90239e-05,3.214816e-05,0
770,58.2,8.307527e-05,3e-05,0
771,58.26,7.751269e-05,2.799125e-05,0
772,58.32,7.231304e-05,2.611356e-05,0
773,58.38,6.745778e-05,2.436024e-05,0
774,58.44,6.292844e-05,2.272461e-05,0
775,58.5,5.870652e-05,2.12e-05,0
776,58.62,5.477028e-05,1.977855e-05,0
777,58.74,5.109918e-05,1.845285e-05,0
778,58.86,4.767654e-05,1.721687e-05,0
779,58.98,4.448567e-05,1.606459e-05,0
780,59.1,4.150994e-05,1.499e-05,0
